Year,Jurisdiction,FMP,Stock,FSSI,Science Center,Regional Ecosystem,Status Stock?,Assessment Year,Assessment Month,Last Data Year,Record Status,Update Type,Review Type,Assessment Model,Model Version,TimeSeries Data?,Survey Links?,Life History Data,Abundance Data,Catch Data,Assessment Frequency,Adequate,Assessment Level,Citation,Lead Lab,Point of Contact,Comments,Minimum F,Maximum F,Best F,F Year,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,Ftarget,Ftarget Basis,F/Flimit,F/Fmsy,F/Ftarget,Minimum B,Maximum B,Best B,B Year,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit,Stock Level Relative to Bmsy,Final assessment report,Assessment working paper,Assessment model input and out file,Assessment review document (including CIE and SSC),Citable Evaluation Document (for non-assessed stocks in support of status determinations),Decision memo related to status determinations,Other,Decision memo related to inadequate rebuilding progress
2020,MAFMC,Atlantic Surfclam and Ocean Quahog,Atlantic surfclam - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2020,6,2019,Draft,Benchmark,Full acceptance,SS,Base,,Y,3,3,5,2,1,4,"61st Stock Assessment Workshop, Atlantic surfclam, NEFSC CRD 16-13",NEFSC,Dan Hennen,,,,0.035999998,2019,Apical  F,F Rate for Fully Selected Clams,0.141000003,Fmsy,0.141000003,Fmsy proxy,,,0.254999995,0.254999995,,,,1222,2019,Thousand Metric Tons,Spawning Stock Biomass,513.5,0.5*Bmsy,1027,SSBmsy Proxy,2.380000114,1.190000057,,,ABOVE,,,,,,,,
2020,MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2020,6,2019,Draft,Benchmark,Full acceptance,SS,Base,,Y,2,3,5,2,1,4,"63rd Stock Assessment Workshop Assessment Summary Report Ocean quahog, NEFSC CRD17-09",NEFSC,Michele Traver,,,,0.005,2019,Apical F,F Rate for Fully Selected Clams,0.018999999,Fmsy,0.018999999,MSE,,,0.263000011,0.263000011,,,,2282,2019,Thousand Metric Tons,Total Stock Biomass - Meat Weight,,,2113,SSB50%,,1.080000043,,Metric Tons,ABOVE,,,,,,,,
2020,MAFMC,Bluefish,Bluefish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2019,9,2018,Locked,,Full acceptance,ASAP,,Y,Y,,,,,0,,,NEFSC,Anthony Wood,"This bluefish Operational Assessment was conducted in 2019, and published in 2020. Based on this assessment the peer reviewers recommended changing bluefish stock status from ""not overfished"" to ""overfished"".",,,0.145999998,2018,Rate,Fully recruited F,0.182999998,Fmsy,0.182999998,F35% as proxy,,,0.797999978,0.797999978,,,,91041,2018,mt,Spawning biomass,99359,0.5*B35%,198717,B35%,0.916000009,0.458000004,14443,mt,BELOW,1,,,,,,,
2020,MAFMC,"Mackerel, Squid and Butterfish",Atlantic mackerel - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,2018,2,2016,Locked,Benchmark,Full acceptance,ASAP,,Y,Y,4,3,4,2,1,4,"64th Northeast Regional Stock  Assessment Workshop (64th SAW) Assessment Summary Report. US Dept Commer,  Northeast Fish Sci Cent Ref Doc. 18-03",NEFSC,Kiersten Curti,Atlantic mackerel.  This 2017-2018 benchmark assessment was accepted by SARC64.  The previous assessment in 2010 was rejected by the TRAC and based on that was considered to have unk status.  The SARC64 panel recommends that the stock is overfished and and overfishing is occurring. ,,,0.469999999,2016,Instantaneous annual F averaged across ages,,,F40%,0.25999999,F40% as proxy,,,,1.807999969,,,,43519,2016,mt,Spawning biomass,98447,0.5*Bmsy,196894,SSB40%,0.442000002,0.221000001,,,BELOW,1,,,,,,,
2020,MAFMC,"Mackerel, Squid and Butterfish",Butterfish - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,2020,6,2019,Draft,Full Update,Full acceptance,ASAP,Base,Y,Y,3,4,4,2,1,5,"Butterfish 2017 Stock Assessment Update, Charles Adams",NEFSC,Charles Adams,,,,0.209999993,2019,Apical F,F Rate for Fully Selected Fish,0.860000014,Fmsy,0.860000014,Fmsy proxy = 2/3 * M,,,0.244000003,0.244000003,,,,29308,2019,Metric Tons,Spawning Stock Biomass,21213.5,.5 Bmsy proxy,42427,Bmsy proxy,1.381999969,0.690999985,,,BELOW,,,,,,,,
2020,MAFMC,"Mackerel, Squid and Butterfish",Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2020,6,2019,Draft,Full Update,Full acceptance,Index Method,2-Year Average Survey Biomass,Y,Y,2,1,3,1,0,1,"Longfin Inshore Squid (Doryteuthis (Amerigo) pealeii) Stock Assessment Update for 2017. By L. Hendrickson, NEFSC PopDy. To MAFMC 4-25-2017",NEFSC,Lisa Hendrickson,,,,0.202000007,2019,Catch / Two-Year Average Annualized B,Exploitation Index,,,,,,,,,,,,73762,2019,Metric Tons,Two-Year Average Annualized B,21203,0.5*Bmsy,42405,Avg. survey CPUE,3.479000092,1.738999963,,,ABOVE,,,,,,,,
2020,MAFMC,"Mackerel, Squid and Butterfish",Northern shortfin squid - Northwestern Atlantic Coast | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,,,Y,,2,1,3,2,0,2,SARC 42 Report (2006),,,Partial acceptance of assessment,,,,,,,,Fmsy,,,,,,,,,,,,,,,,,Bmsy,,,,,,1,,,,,,1,
2020,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2019,8,2018,Locked,,Full acceptance,ASAP,2016,Y,Y,,,,,0,,,NEFSC,Gary Shepherd,"This 2019 operational BSB assessment did NOT recommend a change in stock status relative to the previous assessment recorded in SIS.  Also, this assessment had a retrospective pattern, and so the retrospectively adjusted estimates of SSB2018 and F2018 were entered into this current 2019 SIS record. These adjusted values are being used in the stock status determination.",,,0.419999987,2018,Rate,Average F (Ages 6 - 7) - Retrospective Adjusted,0.460000008,Fmsy,0.460000008,F40% as proxy,,,0.912999988,0.912999988,,,,33407,2018,Metric Tons,Spawning biomass - Restrospective Adjusted,7046,0.5*Bmsy,14092,SSB40%,4.741000175,2.371000051,4773,Metric Tons,ABOVE,1,,,,,,,
2020,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2019,8,2018,Locked,,Full acceptance,ASAP,2015 Version,Y,Y,,,,,0,,,NEFSC,Mark Terceiro,,,,0.158000007,2018,Rate,Fully Selected F - Age 3,0.215000004,Fmsy,0.215000004,F40% as proxy,,,0.735000014,0.735000014,,,,186578,2018,Metric Tons,Spawning Stock Biomass,43651,0.5*Bmsy,94020,SSB40%,4.274000168,1.983999968,12927,Metric Tons,ABOVE,1,,,,,,,
2020,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2019,3,2017,Locked,,Full acceptance,ASAP,Forward-projecting age-structured model,Y,Y,,,,,0,,,NEFSC,Mark Terceiro,"Summer flounder, 2018 stock assessment: This summer flounder assessment  using the ASAP model resulted in a status change from the previous assessment.  The stock had been considered not overfished, but overfishing taking place.  The latest results are that the stock is not overfished and overfishing is not taking place.",0.275999993,0.379999995,0.333999991,2017,Fully Selected F,Age - 4,0.448000014,Fmsy,0.448000014,F35% as proxy,,,0.745999992,0.745999992,,39195,50935,44552,2017,mt,Spawning biomass,28580,0.5*Bmsy,57159,B35%,1.559000015,0.778999984,15973,mt,BELOW,1,,,,,,,
